client_id,page_url,referrer,timestamp,event_name,event_data,user_agent,clientId,client_id_canonical
1740268798-lvfV1k5nHCN8,https://puffy.com/blogs/best-sleep/heating-pad-vs-electric-blanket,https://source-afb1343a.com/,2025-02-23T00:00:01.750Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,1740268798-lvfV1k5nHCN8
1740268852-ioJSoDq7hwNm,https://puffy.com/products/puffy-mattress?size=F8A6D9&sfdr_ptcid=15B4CF&sfdr_hash=21917C&oid=ECCBC8&affid=E4DA3B&sub1=7EABC2&sub2=D41D8C&sub3=D41D8C&gad_source=C4CA42&gbraid=7D5691&gclid=A1B115,,2025-02-23T00:00:54.391Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",,1740268852-ioJSoDq7hwNm
1740268767-SDGE_Skxg7P7,https://puffy.com/products/puffy-topper?feel=DE8612&size=F207E9,https://source-e34e0c2e.com/,2025-02-23T00:01:07.615Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",,1740268767-SDGE_Skxg7P7
1739894111-Ck3AEc97wn-A,https://puffy.com/blogs/reviews/mattress-in-a-box-video-review-by-the-roof-family-for-puffy-mattress?utm_source=18F8FA&utm_medium=9A780E&utm_campaign=FD625D&utm_content=2A35A2&bxid=0099B6&_kx=BFD149,,2025-02-23T00:01:08.642Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1 Ddg/18.3",,1739894111-Ck3AEc97wn-A
1740264185-OFhxMErmemrD,https://puffy.com/,,2025-02-23T00:02:08.395Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",,1740264185-OFhxMErmemrD
1740268930-4WCvsqhq1Kf8,https://puffy.com/products/puffy-mattress?size=F8A6D9&sfdr_ptcid=15B4CF&sfdr_hash=21917C&oid=ECCBC8&affid=E4DA3B&sub1=7EABC2&sub2=D41D8C&sub3=D41D8C&gad_source=C4CA42&gbraid=7D5691&gclid=F0D197,,2025-02-23T00:02:11.237Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/355.0.723646882 Mobile/15E148 Safari/604.1",,1740268930-4WCvsqhq1Kf8
1740268484-roisbFfGkDxd,https://puffy.com/products/puffy-lux-mattress?utm_source=175C1C&utm_medium=7B4C8A&utm_campaign=56B21B&utm_content=6295FD&amp_device_id=1E5ED2&oid=E4DA3B&affid=C20AD4&sub1=1BD8C2&sub2=47BA91&sub3=719530&gad_source=C4CA42&gbraid=42DAD4&gclid=495A06&_gl=0B63A0&size=2C2D2C,,2025-02-23T00:02:59.212Z,page_viewed,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",,1740268484-roisbFfGkDxd
1740268999-k1PQxqt-fODp,https://puffy.com/products/puffy-topper?irclickid=0B5E46&utm_source=AF630F&utm_medium=7B4C8A&clickid=0B5E46&sharedid=D41D8C&iradid=139F4C&im_ref=0B5E46&irgwc=C4CA42,,2025-02-23T00:03:24.127Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",,1740268999-k1PQxqt-fODp
1740267092-ImPAGWXFGs5m,https://puffy.com/products/puffy-monarch-mattress,,2025-02-23T00:03:28.880Z,page_viewed,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",,1740267092-ImPAGWXFGs5m
1740269015-VuIPVH2iqu0p,https://puffy.com/products/puffy-bed-frame,https://source-afb1343a.com/,2025-02-23T00:03:39.100Z,page_viewed,,Mozilla/5.0 (Android 15; Mobile; rv:135.0) Gecko/135.0 Firefox/135.0,,1740269015-VuIPVH2iqu0p
1740268999-k1PQxqt-fODp,https://puffy.com/products/puffy-topper?irclickid=0B5E46&utm_source=0CD4C0&utm_medium=7B4C8A&clickid=0B5E46&sharedid=D41D8C&iradid=139F4C&im_ref=0B5E46&irgwc=C4CA42&size=2C2D2C,,2025-02-23T00:03:46.480Z,email_filled_on_popup,"{""user_email"":""f3f4e4fb9d459fb0570811dcf8689bc5504d72962950d93bb10d5a49b18e611a""}","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",,1740268999-k1PQxqt-fODp
