date,file,dq_score,decision,failed,p0_failed,p1_failed,p2_failed
20250223,events_20250223.csv,100,PASS,0,0,0,0
20250224,events_20250224.csv,85,WARN,1,0,1,0
20250225,events_20250225.csv,85,WARN,1,0,1,0
20250226,events_20250226.csv,70,QUARANTINE,1,1,0,0
20250227,events_20250227.csv,55,QUARANTINE,2,1,1,0
20250228,events_20250228.csv,85,WARN,1,0,1,0
20250301,events_20250301.csv,70,QUARANTINE,1,1,0,0
20250302,events_20250302.csv,85,WARN,1,0,1,0
20250303,events_20250303.csv,85,WARN,1,0,1,0
20250304,events_20250304.csv,70,WARN,2,0,2,0
20250305,events_20250305.csv,85,WARN,1,0,1,0
20250306,events_20250306.csv,70,WARN,2,0,2,0
20250307,events_20250307.csv,85,WARN,1,0,1,0
20250308,events_20250308.csv,40,QUARANTINE,3,1,2,0
