purchase_day,channel,attributed_revenue
2025-02-23,direct,12986.0
2025-02-23,paid_search,4848.0
2025-02-23,paid_social,245.0
2025-02-23,unknown_paid,2329.0
2025-02-24,direct,17436.0
2025-02-24,paid_search,4795.0
2025-02-24,unknown_paid,3226.6
2025-02-25,direct,3968.0
2025-02-25,paid_search,8414.0
2025-02-25,unknown_paid,1161.0
2025-02-26,direct,7451.0
2025-02-26,paid_search,4197.0
2025-02-26,unknown_paid,2258.0
2025-02-27,direct,6903.0
2025-02-27,paid_search,6462.0
2025-02-27,unknown_paid,635.0
2025-02-28,direct,12231.0
2025-02-28,organic_search,245.0
2025-02-28,paid_search,3176.0
2025-02-28,unknown_paid,3017.0
2025-03-01,direct,13455.0
2025-03-01,organic_search,3747.0
2025-03-01,paid_search,7971.0
2025-03-01,unknown_paid,4417.0
2025-03-02,direct,7676.0
2025-03-02,organic_search,2400.0
2025-03-02,paid_search,13671.0
2025-03-02,unknown_paid,4474.0
2025-03-03,direct,4616.0
2025-03-03,organic_search,262.0
2025-03-03,paid_search,8634.0
2025-03-03,unknown_paid,6992.8
2025-03-04,direct,8630.0
2025-03-04,paid_search,2048.0
2025-03-04,unknown_paid,1737.0
2025-03-05,direct,11051.0
2025-03-05,organic_search,204.0
2025-03-05,paid_search,8596.0
2025-03-05,unknown_paid,863.0
2025-03-06,direct,10269.0
2025-03-06,organic_search,2618.0
2025-03-06,paid_search,7318.0
2025-03-06,unknown_paid,1549.0
2025-03-07,direct,12329.0
2025-03-07,paid_search,3805.0
2025-03-07,unknown_paid,2197.0
2025-03-08,direct,14237.0
2025-03-08,paid_search,4195.0
2025-03-08,unknown_paid,2854.0
