purchase_day,channel,attributed_revenue
2025-02-23,direct,10387.0
2025-02-23,paid_search,4848.0
2025-02-23,paid_social,245.0
2025-02-23,unknown_paid,4928.0
2025-02-24,direct,17681.0
2025-02-24,paid_search,4795.0
2025-02-24,unknown_paid,2981.6
2025-02-25,direct,3661.0
2025-02-25,paid_search,8414.0
2025-02-25,unknown_paid,1468.0
2025-02-26,direct,7451.0
2025-02-26,organic_search,2299.0
2025-02-26,paid_search,1898.0
2025-02-26,unknown_paid,2258.0
2025-02-27,direct,8351.0
2025-02-27,organic_search,511.0
2025-02-27,paid_search,3254.0
2025-02-27,unknown_paid,1884.0
2025-02-28,direct,12476.0
2025-02-28,paid_search,2575.0
2025-02-28,unknown_paid,3618.0
2025-03-01,direct,16845.0
2025-03-01,organic_search,3747.0
2025-03-01,paid_search,5343.0
2025-03-01,unknown_paid,3655.0
2025-03-02,direct,11902.0
2025-03-02,organic_search,2650.0
2025-03-02,paid_search,10444.0
2025-03-02,unknown_paid,3225.0
2025-03-03,direct,9674.8
2025-03-03,paid_search,8421.0
2025-03-03,unknown_paid,2409.0
2025-03-04,direct,9860.0
2025-03-04,paid_search,2048.0
2025-03-04,unknown_paid,507.0
2025-03-05,direct,13706.0
2025-03-05,paid_search,6273.0
2025-03-05,unknown_paid,735.0
2025-03-06,direct,14486.0
2025-03-06,paid_search,5719.0
2025-03-06,unknown_paid,1549.0
2025-03-07,direct,12591.0
2025-03-07,paid_search,3805.0
2025-03-07,unknown_paid,1935.0
2025-03-08,direct,13187.0
2025-03-08,paid_search,3846.0
2025-03-08,unknown_paid,4253.0
