event_day,landing_channel,checkout_completed,checkout_started,email_filled_on_popup,page_viewed,product_added_to_cart,sessions,purchase_rate_per_session
2025-02-23,direct,12,41,8,1559,105,1400,0.008571428571428572
2025-02-23,organic_search,0,1,2,330,7,326,0.0
2025-02-23,paid_search,2,11,27,1214,43,1112,0.0017985611510791368
2025-02-23,paid_social,1,1,0,135,3,125,0.008
2025-02-23,unknown_paid,6,10,14,516,22,430,0.013953488372093023
2025-02-24,direct,16,42,9,1786,96,1604,0.00997506234413965
2025-02-24,organic_search,0,2,2,252,3,248,0.0
2025-02-24,organic_social,0,0,0,1,0,1,0.0
2025-02-24,paid_search,5,3,26,905,28,794,0.006297229219143577
2025-02-24,paid_social,0,0,0,112,3,111,0.0
2025-02-24,unknown_paid,4,7,15,430,21,368,0.010869565217391304
2025-02-25,direct,6,53,6,1629,82,1451,0.004135079255685734
2025-02-25,organic_search,0,0,1,248,3,244,0.0
2025-02-25,paid_search,6,19,20,841,35,687,0.008733624454148471
2025-02-25,paid_social,0,0,1,126,1,124,0.0
2025-02-25,referral,0,0,0,1,0,1,0.0
2025-02-25,unknown_paid,3,5,5,366,12,346,0.008670520231213872
2025-02-26,direct,6,29,5,1401,93,1190,0.005042016806722689
2025-02-26,organic_search,1,1,0,261,4,239,0.0041841004184100415
2025-02-26,paid_search,2,10,16,806,40,716,0.002793296089385475
2025-02-26,paid_social,0,0,1,135,3,137,0.0
2025-02-26,unknown_paid,4,6,11,323,17,303,0.013201320132013201
2025-02-27,direct,9,49,5,1425,76,1275,0.007058823529411765
2025-02-27,organic_search,2,1,0,260,11,235,0.00851063829787234
2025-02-27,paid_search,3,6,15,926,37,830,0.0036144578313253013
2025-02-27,paid_social,0,0,0,123,0,123,0.0
2025-02-27,unknown_paid,4,6,6,408,18,358,0.0111731843575419
2025-02-28,direct,8,38,10,1334,77,1163,0.006878761822871883
2025-02-28,organic_search,0,0,1,309,9,295,0.0
2025-02-28,paid_search,4,5,24,725,50,632,0.006329113924050633
2025-02-28,paid_social,0,0,1,92,3,93,0.0
2025-02-28,unknown_paid,6,10,9,508,39,410,0.014634146341463415
2025-03-01,direct,14,41,6,1051,52,955,0.014659685863874346
2025-03-01,organic_search,3,2,2,474,24,445,0.006741573033707865
2025-03-01,paid_search,6,15,22,936,64,804,0.007462686567164179
2025-03-01,paid_social,0,0,4,107,0,107,0.0
2025-03-01,referral,0,0,0,1,0,1,0.0
2025-03-01,unknown_paid,4,14,11,583,51,506,0.007905138339920948
2025-03-02,direct,9,35,3,1785,79,1321,0.006813020439061317
2025-03-02,organic_search,3,5,5,512,30,471,0.006369426751592357
2025-03-02,organic_social,0,0,0,1,0,1,0.0
2025-03-02,paid_search,6,8,23,977,62,873,0.006872852233676976
2025-03-02,paid_social,0,0,1,114,2,113,0.0
2025-03-02,unknown_paid,4,5,17,601,48,523,0.0076481835564053535
2025-03-03,direct,10,35,6,1673,53,1422,0.007032348804500703
2025-03-03,organic_search,0,5,3,558,31,494,0.0
2025-03-03,paid_search,8,12,26,814,64,706,0.0113314447592068
2025-03-03,paid_social,0,0,1,81,3,78,0.0
2025-03-03,referral,0,0,0,1,0,1,0.0
2025-03-03,unknown_paid,4,8,15,578,51,494,0.008097165991902834
2025-03-04,direct,14,53,6,2150,101,1928,0.007261410788381743
2025-03-04,paid_search,2,1,14,641,34,604,0.0033112582781456954
2025-03-04,paid_social,0,0,0,101,3,99,0.0
2025-03-04,unknown_paid,2,7,11,380,16,353,0.0056657223796034
2025-03-05,direct,12,74,8,1677,68,1523,0.007879185817465528
2025-03-05,paid_search,5,5,15,501,23,418,0.011961722488038277
2025-03-05,paid_social,0,0,0,107,3,102,0.0
2025-03-05,unknown_paid,3,2,5,363,10,334,0.008982035928143712
2025-03-06,direct,13,48,10,2158,92,1842,0.007057546145494028
2025-03-06,paid_search,7,13,15,552,36,444,0.015765765765765764
2025-03-06,paid_social,0,0,0,112,1,106,0.0
2025-03-06,unknown_paid,1,4,6,356,16,310,0.0032258064516129032
2025-03-07,direct,9,41,10,2031,122,1660,0.005421686746987952
2025-03-07,paid_search,3,8,12,489,28,396,0.007575757575757576
2025-03-07,paid_social,0,0,1,113,0,109,0.0
2025-03-07,unknown_paid,4,4,11,350,15,302,0.013245033112582781
2025-03-08,direct,11,23,16,2444,138,1966,0.005595116988809766
2025-03-08,paid_search,5,7,16,580,25,490,0.01020408163265306
2025-03-08,paid_social,0,0,0,107,2,107,0.0
2025-03-08,unknown_paid,4,5,11,428,19,354,0.011299435028248588
