transaction_id,purchase_ts,client_id_canonical,session_id,revenue,user_email,items_json,first_click_session_id,last_click_session_id,first_click_channel,last_click_channel,last_non_direct_session_id,last_non_direct_channel
ORD-20250226-138,2025-02-26 22:46:57.087000+00:00,16C594DF-8deb-4DAB-b767-efc3b82360e6,16C594DF-8deb-4DAB-b767-efc3b82360e6:1:20250226T223958,1599.0,b750ced34cabfc0e9fc67fe08e2f144346ac78dbdecdf5f26c41780f4aa5fd55,"[{""item_id"": ""12CK-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 1599, ""item_variant"": ""Hybrid / Cal King  -  (72\""W x 84\""L x 12\""H)"", ""quantity"": 1}]",16C594DF-8deb-4DAB-b767-efc3b82360e6:1:20250226T223958,16C594DF-8deb-4DAB-b767-efc3b82360e6:1:20250226T223958,direct,direct,,
ORD-20250223-124,2025-02-23 11:01:15.499000+00:00,1735590428-Rw8e53NUAyqh,1735590428-Rw8e53NUAyqh:1:20250223T105041,179.0,fefb43af6b9671473d24c60a3da3a4a5acc43173068576415a0cf965972091c0,"[{""item_id"": ""K-SH01-GRY-3"", ""item_name"": ""Puffy Signature Sheets Set"", ""item_price"": 179, ""item_variant"": ""Polar Gray / King  -  (76\""W x 80\""L)"", ""quantity"": 1}]",1735590428-Rw8e53NUAyqh:1:20250223T105041,1735590428-Rw8e53NUAyqh:1:20250223T105041,direct,direct,,
ORD-20250227-567,2025-02-27 00:34:23.765000+00:00,1735611495-J_n2T1HK7vPv,1735611495-J_n2T1HK7vPv:2:20250227T003423,1899.0,026619d241897d461bb6525e65c10370df2ed54a807a9fb69d23faeca62edb6b,"[{""item_id"": ""14F-PUFFHB-24"", ""item_name"": ""Puffy Royal Mattress"", ""item_price"": 1899, ""item_variant"": ""Full  -  (54\""W x 75\""L x 14\""H) / Hybrid"", ""quantity"": 1}]",1735611495-J_n2T1HK7vPv:1:20250226T232542,1735611495-J_n2T1HK7vPv:2:20250227T003423,direct,direct,,
ORD-20250303-311,2025-03-03 17:42:24.012000+00:00,1735913255-pA-h3CMo96w0,1735913255-pA-h3CMo96w0:1:20250303T173608,1599.0,1176eeadf60ade35194ff86b289902ca3df897f60d7858066858277dfb8ef142,"[{""item_id"": ""12K-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 1599, ""item_variant"": ""Hybrid / King  -  (76\""W x 80\""L x 12\""H)"", ""quantity"": 1}]",1735913255-pA-h3CMo96w0:1:20250303T173608,1735913255-pA-h3CMo96w0:1:20250303T173608,direct,direct,,
ORD-20250228-150,2025-02-28 13:55:33.505000+00:00,1736048074-aDVs3Y9A_D_y,1736048074-aDVs3Y9A_D_y:1:20250228T135533,1449.0,5ba668bc3d575237626c6ba6946fe41e3906d2d3909834eeebd3da7ab2f29101,"[{""item_id"": ""12K-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 1449, ""item_variant"": ""Hybrid / King  -  (76\""W x 80\""L x 12\""H)"", ""quantity"": 1}]",1736048074-aDVs3Y9A_D_y:1:20250228T135533,1736048074-aDVs3Y9A_D_y:1:20250228T135533,direct,direct,,
ORD-20250303-461,2025-03-03 04:24:13.773000+00:00,1736137782-qnlIPdOzIMIV,1736137782-qnlIPdOzIMIV:2:20250303T040812,262.0,1628095383d5b062ab996434fb0a50d9cb9b9337f1e514ca84caed1d927d7194,"[{""item_id"": ""K-TOPPR-F-22"", ""item_name"": ""Puffy Deluxe Mattress Topper"", ""item_price"": 262, ""item_variant"": ""Firm / King  -  (76\""W x 80\""L x 2.5\""H)"", ""quantity"": 1}]",1736137782-qnlIPdOzIMIV:1:20250303T032954,1736137782-qnlIPdOzIMIV:2:20250303T040812,organic_search,paid_search,1736137782-qnlIPdOzIMIV:2:20250303T040812,paid_search
ORD-20250224-231,2025-02-24 13:57:51.139000+00:00,1736790828-mW3_FOMhXHNK,1736790828-mW3_FOMhXHNK:1:20250224T135751,1349.0,7f75728adf92dd1f64d1a095a89da1838e456cc2b2177d564bef97f1f5b4a264,"[{""item_id"": ""12Q-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 1349, ""item_variant"": ""Hybrid / Queen  -  (60\""W x 80\""L x 12\""H)"", ""quantity"": 1}]",1736790828-mW3_FOMhXHNK:1:20250224T135751,1736790828-mW3_FOMhXHNK:1:20250224T135751,direct,direct,,
ORD-20250225-168,2025-02-25 14:40:29.060000+00:00,1736790828-mW3_FOMhXHNK,1736790828-mW3_FOMhXHNK:2:20250225T143920,307.0,7f75728adf92dd1f64d1a095a89da1838e456cc2b2177d564bef97f1f5b4a264,"[{""item_id"": ""qprot1"", ""item_name"": ""Puffy Signature Mattress Protector"", ""item_price"": 128, ""item_variant"": ""Queen  -  (60\""W x 80\""L)"", ""quantity"": 1}, {""item_id"": ""Q-SH01-GRY-3"", ""item_name"": ""Puffy Signature Sheets Set"", ""item_price"": 179, ""item_variant"": ""Polar Gray / Queen  -  (60\""W x 80\""L)"", ""quantity"": 1}]",1736790828-mW3_FOMhXHNK:1:20250224T135751,1736790828-mW3_FOMhXHNK:2:20250225T143920,direct,unknown_paid,1736790828-mW3_FOMhXHNK:2:20250225T143920,unknown_paid
ORD-20250225-783,2025-02-25 21:18:40.823000+00:00,1737213027-8b0K2x6ACOek,1737213027-8b0K2x6ACOek:1:20250225T211544,899.0,2625baac9cb275400fdf73ed85d348989080797d7d6b5eae2b5266206e28198b,"[{""item_id"": ""10Q-PUFF-24"", ""item_name"": ""Puffy Cloud Mattress"", ""item_price"": 899, ""item_variant"": ""Queen  -  (60\""W x 80\""L x 10\""H)"", ""quantity"": 1}]",1737213027-8b0K2x6ACOek:1:20250225T211544,1737213027-8b0K2x6ACOek:1:20250225T211544,unknown_paid,unknown_paid,1737213027-8b0K2x6ACOek:1:20250225T211544,unknown_paid
ORD-20250306-159,2025-03-06 00:01:10.942000+00:00,1737221798-dp1kMRfVStrp,1737221798-dp1kMRfVStrp:6:20250306T000110,229.0,77f5e2ee2cec6148d55f86651729d03ca42c8885c662aa8ec1c5a154e241ef60,"[{""item_id"": ""kfram1"", ""item_name"": ""Puffy Midnight Foundation"", ""item_price"": null, ""item_variant"": ""King  -  (76\""W x 80\""L x 15\""H)"", ""quantity"": 1}]",1737221798-dp1kMRfVStrp:1:20250302T123718,1737221798-dp1kMRfVStrp:6:20250306T000110,direct,direct,,
ORD-20250303-351,2025-03-03 14:37:41.183000+00:00,1737382881-hEun5tD7Ri_v,1737382881-hEun5tD7Ri_v:3:20250303T142827,179.0,16ce7543271457d6f344e8af204b88e47d95bedbc520e9d77a07bd02975fd651,"[{""item_id"": ""K-SH02-WHT-3"", ""item_name"": ""Puffy Signature Sheets Set"", ""item_price"": 179, ""item_variant"": ""Arctic White / King  -  (76\""W x 80\""L)"", ""quantity"": 1}]",1737382881-hEun5tD7Ri_v:2:20250303T132209,1737382881-hEun5tD7Ri_v:3:20250303T142827,direct,direct,,
